aba,age_vehicule,agepr,nb_autre_carbu,cataeu,cs42pr,nb_diesel,dip14pr,nb_essence,etat_veh_achat,ident_men,km_autre_carbu,km_diesel,km_essence,mloy_d,nactifs,nbphab,nenfants,npers,ocde10,pondmen,poste_07_2_2_1,prix_achat,rev_disponible,revtot,situapr,stalog,tau,tuu,typmen,veh_tot,vp_deplacements_pro,vp_domicile_travail,rural,petite_ville,moyenne_ville,grande_ville,paris,niveau_vie,niveau_vie_decile,niveau_vie_quintile,donation_class_3,distance,distance_autre_carbu,distance_diesel,distance_essence,age_vehicule.1,depenses_carburants_corrigees_emp,depenses_diesel_corrigees_emp,depenses_essence_corrigees_emp
2,13,41,0,221,52,2,42,0,0,10760,0,100319,0,0,3,7,4,6,3.3,2219.5291967,0.0,0,31960.95,32427.0,1,1,3,4,4,2,1,1,0,0,1,0,0,9685.13636363636,1,1,1_0,24417.316287,0.0,24417.316287,0.0,11,2101.329584652792,2101.329584652792,0.0
0,15,41,0,112,43,1,41,0,0,10788,0,0,0,580,1,3,2,3,1.6,1812.8040353,1238.64,0,9384.4,9400.0,4,3,10,2,2,1,0,0,0,1,0,0,0,5865.25,1,1,1_0,17098.450704,0.0,17098.450704,0.0,13,1471.4754026908247,1471.4754026908247,0.0
2,0,58,0,111,85,0,71,0,0,10798,0,0,0,0,0,3,0,2,1.5,1863.969474,0.0,0,9340.0,9860.0,7,1,9,7,5,0,0,0,0,0,0,1,0,6226.66666666667,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,0,59,0,111,78,0,71,0,0,1083,0,0,0,14,0,2,1,3,1.8,2088.1394958,0.0,0,15762.0,15762.0,7,3,5,4,5,0,0,0,0,0,1,0,0,8756.66666666667,1,1,1_0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,14,45,0,120,56,1,41,0,0,1086,0,99999,0,246,1,4,2,3,2.0,1336.940131,1300.0,0,19196.4,19316.0,1,3,0,1,2,1,0,1,0,1,0,0,0,9598.2,1,1,1_0,17760.0,0.0,17760.0,0.0,14,1528.4076671154432,1528.4076671154432,0.0
2,23,63,0,400,78,1,70,0,0,10894,0,0,0,0,0,5,0,1,1.0,4096.4819669,0.0,0,9777.0,9842.0,5,1,0,0,1,1,0,0,1,0,0,0,0,9777.0,1,1,1_1,11426.150266,0.0,11426.150266,0.0,21,896.7850713761951,896.7850713761951,0.0
0,24,52,0,120,85,0,71,2,0,10902,0,0,0,0,1,4,1,2,1.5,1525.851636,780.0,0,11707.0,11707.0,6,3,0,1,2,2,0,0,0,1,0,0,0,7804.66666666667,1,1,1_0,2602.8787382,0.0,0.0,2602.8787382,19,224.00111599305464,0.0,224.00111599305464
0,13,36,0,111,52,1,42,0,0,1091,0,70,0,0,1,2,1,2,1.3,2127.1596088,1196.0,0,10630.0,10630.0,1,4,7,5,2,1,0,1,0,0,1,0,0,8176.92307692308,1,1,1_0,23278.813084,0.0,23278.813084,0.0,10,2003.351148588564,2003.351148588564,0.0
2,0,69,0,112,71,0,50,0,0,10914,0,0,0,0,0,3,0,1,1.0,1953.28412,0.0,0,9466.75,9613.0,5,1,4,0,1,0,0,0,1,0,0,0,0,9466.75,1,1,1_1,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
0,13,42,0,111,85,0,50,1,0,10934,0,0,0,0,0,3,3,4,2.1,1169.4159092,0.0,0,20605.3,20630.0,6,3,7,6,2,1,0,0,0,0,1,0,0,9812.04761904762,1,1,1_0,11807.258634,0.0,0.0,11807.258634,5,1016.1207558457553,0.0,1016.1207558457553
2,17,60,0,400,55,3,60,0,2,10938,0,25,0,0,3,5,1,3,2.0,2031.728632,4680.0,2000,10722.0,10917.0,1,1,0,0,4,3,0,0,1,0,0,0,0,5361.0,1,1,1_1,25019.762585,0.0,25019.762585,0.0,22,1963.6840977288684,1963.6840977288684,0.0
