,ident,pondmen,agepr,cataeu,cs42pr,ppa,ocde10,nactifs,nactoccup,npers,nivviem,prest_precarite_hand,prest_precarite_rsa,prest_precarite_vieil,retraites,rev_etranger,rev_valeurs_mobilieres_bruts,revdecm,rev_disponible,salaires,,stalog,tau,mhab_d,tuu,typmen,donation_class_1
169,17000173,253.07654571,56,112,48.0,0,2.5,3,4,4,30769.2,0,0,0,0,0,0,83990,76920,63670,1,2.0,8,570,0,4,4
170,17000174,651.59679064,74,111,72.0,0,1.5,0,0,2,14278.0,0,0,0,21950,0,0,22090,21420,0,1,,10,540,8,3,0
171,17000175,707.07726727,40,300,37.0,0,2.4,2,2,5,28878.333333,0,0,0,0,0,0,65950,69310,63560,1,,0,810,0,4,2
172,17000176,524.70049494,71,112,77.0,0,1.0,0,0,1,17415.0,0,0,0,16060,0,40,17790,17420,0,2,2.0,10,540,0,1,0
173,17000177,549.97470177,51,111,38.0,0,2.5,2,2,4,40478.8,0,0,0,0,0,60,102380,101200,79120,1,,7,970,6,4,2
174,17000178,687.65589006,27,300,47.0,0,1.5,2,2,2,27680.666667,0,0,0,0,0,0,45030,41520,43460,1,4.0,0,540,0,3,2
175,17000179,590.5432299,61,111,34.0,0,1.5,2,2,2,59762.666667,0,0,0,0,0,2150,92590,89640,86450,1,,8,660,7,3,2
176,17000180,531.84347916,65,111,77.0,0,1.0,0,0,1,20418.0,0,0,0,20970,0,20,21300,20420,0,2,2.0,7,570,5,1,0
177,17000181,443.78930517,44,221,53.0,0,2.8,2,2,5,17623.214286,0,0,0,0,0,0,43940,49350,42420,1,,1,330,1,4,2
178,17000182,335.84666892,84,300,77.0,0,1.0,0,0,1,14860.0,0,0,0,14830,0,0,14950,14860,0,2,,0,0,0,1,0
179,17000183,578.90217676,62,111,46.0,0,1.0,1,1,1,24509.0,0,0,0,0,0,30,26300,24510,25350,1,4.0,7,590,6,1,1
